candidate_id,Name,Skills,Experience,Education,Recommendation,Score,Matched Skills,Missing Skills,Behavior Score,Location,Reasoning
CAND_0088025,Candidate 0088025,"Pinecone, QLoRA, LLMs, Hugging Face Transformers, RAG, SAP, TensorFlow, LoRA, Flask, Prompt Engineering, BM25, Elasticsearch, MLOps, pgvector, Learning to Rank, Deep Learning, Python, NLP, YOLO",8.6 Years,Ph.D in Data Science at COEP Pune,Consider,70.7%,"Python, Machine Learning, NLP, TensorFlow, RAG","Docker, SQL, NoSQL, REST API, Git",82.7%,"Jaipur, Rajasthan, India","Matched [Python, Machine Learning, NLP] | Missing [Docker, SQL, NoSQL] | 8.6 years experience | Platform engagement: High (GitHub: 75%) | Location: Willing to Relocate | Final Score: 70.7%"
CAND_0075504,Candidate 0075504,"YOLO, TensorFlow, Embeddings, Semantic Search, GANs, gRPC, RAG, pgvector, Photoshop, Machine Learning, BM25, NLP, TTS, CI/CD, TypeScript, MLflow",3.0 Years,M.E. in Computer Science at Anna University,Consider,66.3%,"Machine Learning, NLP, TensorFlow, RAG","Python, Docker, SQL, NoSQL, REST API, Git",63.5%,"Hyderabad, Telangana, India","Matched [Machine Learning, NLP, TensorFlow] | Missing [Python, Docker, SQL] | 3.0 years experience | Platform engagement: Medium (GitHub: 66%) | Location: Willing to Relocate | Final Score: 66.3%"
CAND_0015578,Candidate 0015578,"Diffusion Models, Embeddings, NLP, Data Science, Kafka, Speech Recognition, MLflow, BM25, Machine Learning, Sentence Transformers, Go, CNN, Pinecone, scikit-learn, FAISS, BentoML, RAG, QLoRA",5.4 Years,B.E. in Artificial Intelligence at NIT Trichy; Ph.D in Machine Learning at NIT Surathkal,Consider,66.2%,"Machine Learning, NLP, RAG","Python, TensorFlow, Docker, SQL, NoSQL, REST API, Git",71.9%,"Delhi, Delhi, India","Matched [Machine Learning, NLP, RAG] | Missing [Python, TensorFlow, Docker] | 5.4 years experience | Platform engagement: Medium (GitHub: 28%) | Location: Willing to Relocate | Final Score: 66.2%"
CAND_0072784,Candidate 0072784,"Feature Engineering, Photoshop, Statistical Modeling, GANs, Reinforcement Learning, BM25, SQL, RAG, REST APIs, MLOps, Python, scikit-learn, YOLO, MLflow, Marketing",3.4 Years,M.Tech in Data Science at IIT Kharagpur,Consider,66.2%,"Python, SQL, NoSQL, RAG, REST API","Machine Learning, NLP, TensorFlow, Docker, Git",61.5%,"Chennai, Tamil Nadu, India","Matched [Python, SQL, NoSQL] | Missing [Machine Learning, NLP, TensorFlow] | 3.4 years experience | Platform engagement: Medium (GitHub: 47%) | Location: Willing to Relocate | Final Score: 66.2%"
CAND_0005260,Candidate 0005260,"Statistical Modeling, MLOps, Snowflake, Prompt Engineering, Information Retrieval, Speech Recognition, Semantic Search, Deep Learning, Python, NLP, MLflow, LoRA, RAG, Kubeflow, pgvector, Haystack, Hugging Face Transformers, Embeddings",5.2 Years,B.Tech in Artificial Intelligence at IIIT Bangalore,Consider,65.9%,"Python, Machine Learning, NLP, RAG","TensorFlow, Docker, SQL, NoSQL, REST API, Git",67.7%,"Chennai, Tamil Nadu, India","Matched [Python, Machine Learning, NLP] | Missing [TensorFlow, Docker, SQL] | 5.2 years experience | Platform engagement: Medium | Location: Willing to Relocate | Final Score: 65.9%"
CAND_0059017,Candidate 0059017,"Speech Recognition, Sentence Transformers, FAISS, Object Detection, Machine Learning, TensorFlow, QLoRA, Feature Engineering, GCP, YOLO, Python, Forecasting, Fine-tuning LLMs, Statistical Modeling",6.8 Years,Ph.D in Computer Science at IIT Kharagpur,Consider,65.9%,"Python, Machine Learning, TensorFlow","NLP, Docker, SQL, NoSQL, RAG, REST API, Git",78.3%,"Ahmedabad, Gujarat, India","Matched [Python, Machine Learning, TensorFlow] | Missing [NLP, Docker, SQL] | 6.8 years experience | Platform engagement: High (GitHub: 76%) | Location: Willing to Relocate | Final Score: 65.9%"
CAND_0025335,Candidate 0025335,"TTS, Redux, Learning to Rank, NLP, TensorFlow, Machine Learning, BM25, CNN, PEFT, AWS, Weights & Biases, RAG, ASR, Object Detection",6.6 Years,M.Sc in Information Technology at IIIT Hyderabad; B.E. in Data Science at NIT Surathkal,Consider,65.8%,"Machine Learning, NLP, TensorFlow, RAG","Python, Docker, SQL, NoSQL, REST API, Git",51.2%,"Delhi, Delhi, India","Matched [Machine Learning, NLP, TensorFlow] | Missing [Python, Docker, SQL] | 6.6 years experience | Platform engagement: Medium | Location: Willing to Relocate | Final Score: 65.8%"
CAND_0050876,Candidate 0050876,"SQL, Qdrant, MLOps, FAISS, scikit-learn, Weights & Biases, LlamaIndex, Forecasting, Machine Learning, OpenSearch, YOLO, Kubeflow, QLoRA, Sentence Transformers, Image Classification, Python, Prompt Engineering, PyTorch",6.0 Years,M.S. in Machine Learning at Stanford University; M.E. in Information Technology at IIT Kharagpur,Consider,65.8%,"Python, Machine Learning, SQL, NoSQL","NLP, TensorFlow, Docker, RAG, REST API, Git",75.9%,"Kolkata, West Bengal, India","Matched [Python, Machine Learning, SQL] | Missing [NLP, TensorFlow, Docker] | 6.0 years experience | Platform engagement: High (GitHub: 86%) | Location: Willing to Relocate | Final Score: 65.8%"
CAND_0051615,Candidate 0051615,"RAG, HTML, Data Science, Milvus, TTS, Sentence Transformers, Fine-tuning LLMs, Prompt Engineering, Vector Search, Haystack, Computer Vision, REST APIs, Webpack, LLMs, NLP",4.6 Years,M.Sc in Information Technology at IIIT Hyderabad,Consider,65.8%,"NLP, RAG, REST API","Python, Machine Learning, TensorFlow, Docker, SQL, NoSQL, Git",75.8%,"Coimbatore, Tamil Nadu, India","Matched [NLP, RAG, REST API] | Missing [Python, Machine Learning, TensorFlow] | 4.6 years experience | Platform engagement: High (GitHub: 95%) | Location: Willing to Relocate | Final Score: 65.8%"
CAND_0064326,Candidate 0064326,"scikit-learn, PyTorch, Milvus, Deep Learning, Semantic Search, Weaviate, Object Detection, RAG, Weights & Biases, BM25, Webpack, Python, QLoRA, Reinforcement Learning",7.6 Years,B.Tech in Computer Science at COEP Pune,Consider,65.7%,"Python, Machine Learning, RAG","NLP, TensorFlow, Docker, SQL, NoSQL, REST API, Git",78.1%,"Gurgaon, Haryana, India","Matched [Python, Machine Learning, RAG] | Missing [NLP, TensorFlow, Docker] | 7.6 years experience | Platform engagement: High (GitHub: 61%) | Location: Willing to Relocate | Final Score: 65.7%"
CAND_0028287,Candidate 0028287,"RAG, Object Detection, Image Classification, Sales, OpenSearch, Vector Search, MLflow, Pinecone, NLP, GANs, YOLO, Haystack, Reinforcement Learning, Python",5.7 Years,M.S. in Machine Learning at Christ University,Consider,65.5%,"Python, NLP, RAG","Machine Learning, TensorFlow, Docker, SQL, NoSQL, REST API, Git",72.7%,"Vizag, Andhra Pradesh, India","Matched [Python, NLP, RAG] | Missing [Machine Learning, TensorFlow, Docker] | 5.7 years experience | Platform engagement: Medium (GitHub: 42%) | Location: Willing to Relocate | Final Score: 65.5%"
CAND_0009837,Candidate 0009837,"scikit-learn, LangChain, TensorFlow, Image Classification, Speech Recognition, PyTorch, Computer Vision, REST APIs, Learning to Rank, QLoRA, Python, FAISS, LLMs, Six Sigma, Haystack, Qdrant",4.3 Years,Ph.D in Machine Learning at Carnegie Mellon University; B.Sc in Computer Science at IIT Bombay,Consider,65.4%,"Python, TensorFlow, REST API","Machine Learning, NLP, Docker, SQL, NoSQL, RAG, Git",61.3%,"Noida, Uttar Pradesh, India","Matched [Python, TensorFlow, REST API] | Missing [Machine Learning, NLP, Docker] | 4.3 years experience | Platform engagement: Medium (GitHub: 54%) | Location: Willing to Relocate | Final Score: 65.4%"
CAND_0078002,Candidate 0078002,"Statistical Modeling, pgvector, Flask, FastAPI, TensorFlow, NLP, BentoML, scikit-learn, Time Series, Hugging Face Transformers, Weaviate, LlamaIndex, Deep Learning, QLoRA, LangChain, Haystack",6.3 Years,M.E. in Artificial Intelligence at NIT Trichy; B.E. in Machine Learning at IIT Guwahati,Consider,65.4%,"Machine Learning, NLP, TensorFlow","Python, Docker, SQL, NoSQL, RAG, REST API, Git",79.4%,"Coimbatore, Tamil Nadu, India","Matched [Machine Learning, NLP, TensorFlow] | Missing [Python, Docker, SQL] | 6.3 years experience | Platform engagement: High (GitHub: 51%) | Location: Willing to Relocate | Final Score: 65.4%"
CAND_0011967,Candidate 0011967,"Machine Learning, MongoDB, gRPC, Vector Search, MLOps, Flask, YOLO, Reinforcement Learning, Excel, Python, NLP, REST APIs, Tailwind, Diffusion Models, TTS",6.9 Years,B.E. in Computer Engineering at SRM Chennai; B.Tech in Information Technology at Amity University,Consider,65.4%,"Python, Machine Learning, NLP, REST API","TensorFlow, Docker, SQL, NoSQL, RAG, Git",60.9%,"Toronto, Canada","Matched [Python, Machine Learning, NLP] | Missing [TensorFlow, Docker, SQL] | 6.9 years experience | Platform engagement: Medium (GitHub: 38%) | Location: Willing to Relocate | Final Score: 65.4%"
CAND_0077956,Candidate 0077956,"Milvus, TTS, SQL, Weights & Biases, Hugging Face Transformers, Weaviate, LlamaIndex, BentoML, Flask, Feature Engineering, LLMs, Deep Learning, Computer Vision, CNN, MLflow, TensorFlow, Azure, Node.js",6.4 Years,M.Sc in Information Technology at IIT Bombay; B.E. in Artificial Intelligence at VIT Chennai,Consider,65.3%,"Machine Learning, TensorFlow, SQL, NoSQL","Python, NLP, Docker, RAG, REST API, Git",78.8%,"Chandigarh, Chandigarh, India","Matched [Machine Learning, TensorFlow, SQL] | Missing [Python, NLP, Docker] | 6.4 years experience | Platform engagement: High (GitHub: 41%) | Location: Willing to Relocate | Final Score: 65.3%"
CAND_0081846,Candidate 0081846,"Data Science, Information Retrieval, LlamaIndex, pgvector, Forecasting, Learning to Rank, Elasticsearch, PyTorch, Vector Search, scikit-learn, Deep Learning, Recommendation Systems, Python, Embeddings, Semantic Search, BM25, Machine Learning, Qdrant",6.7 Years,B.E. in Data Science at IIT Hyderabad; Ph.D in Computer Engineering at IIT Delhi,Consider,65.2%,"Python, Machine Learning","NLP, TensorFlow, Docker, SQL, NoSQL, RAG, REST API, Git",75.3%,"Jaipur, Rajasthan, India","Matched [Python, Machine Learning] | Missing [NLP, TensorFlow, Docker] | 6.7 years experience | Platform engagement: High (GitHub: 34%) | Location: Willing to Relocate | Final Score: 65.2%"
CAND_0083790,Candidate 0083790,"Image Classification, RAG, Object Detection, Reinforcement Learning, YOLO, Next.js, MLOps, LoRA, FAISS, Weaviate, Figma, NLP, BentoML, Time Series, Webpack, Milvus, Python",3.5 Years,M.Tech in Data Science at UC Berkeley; B.Tech in Data Science at Carnegie Mellon University,Consider,65.2%,"Python, NLP, RAG","Machine Learning, TensorFlow, Docker, SQL, NoSQL, REST API, Git",69.1%,"Coimbatore, Tamil Nadu, India","Matched [Python, NLP, RAG] | Missing [Machine Learning, TensorFlow, Docker] | 3.5 years experience | Platform engagement: Medium | Location: Willing to Relocate | Final Score: 65.2%"
CAND_0037566,Candidate 0037566,"Pinecone, Time Series, LlamaIndex, NLP, LoRA, QLoRA, BM25, Feature Engineering, Forecasting, MLflow, Spring Boot, TensorFlow, LLMs, YOLO, LangChain, Elasticsearch, Reinforcement Learning",6.9 Years,B.Tech in Information Technology at Jadavpur University,Consider,65.1%,"NLP, TensorFlow","Python, Machine Learning, Docker, SQL, NoSQL, RAG, REST API, Git",79.1%,"Bangalore, Karnataka, India","Matched [NLP, TensorFlow] | Missing [Python, Machine Learning, Docker] | 6.9 years experience | Platform engagement: High (GitHub: 73%) | Location: Willing to Relocate | Final Score: 65.1%"
CAND_0093749,Candidate 0093749,"Image Classification, Marketing, SAP, RAG, AWS, Tally, Python, REST APIs, Databricks, Scrum, Redis",2.2 Years,Ph.D in Artificial Intelligence at RV College of Engineering; M.E. in Machine Learning at Georgia Tech,Consider,65.1%,"Python, RAG, REST API","Machine Learning, NLP, TensorFlow, Docker, SQL, NoSQL, Git",59.9%,"Gurgaon, Haryana, India","Matched [Python, RAG, REST API] | Missing [Machine Learning, NLP, TensorFlow] | 2.2 years experience | Platform engagement: Medium | Location: Willing to Relocate | Final Score: 65.1%"
CAND_0065878,Candidate 0065878,"scikit-learn, RAG, Computer Vision, pgvector, QLoRA, LlamaIndex, MLflow, TensorFlow, Forecasting, Vector Search, Fine-tuning LLMs, Photoshop, Recommendation Systems, Machine Learning, Diffusion Models",7.8 Years,B.E. in Machine Learning at Manipal Institute of Technology; B.Sc in Machine Learning at Delhi College of Engineering,Consider,65.0%,"Machine Learning, TensorFlow, RAG","Python, NLP, Docker, SQL, NoSQL, REST API, Git",62.1%,"Trivandrum, Kerala, India","Matched [Machine Learning, TensorFlow, RAG] | Missing [Python, NLP, Docker] | 7.8 years experience | Platform engagement: Medium | Location: Willing to Relocate | Final Score: 65.0%"
CAND_0017425,Candidate 0017425,"Django, Terraform, Forecasting, CNN, Machine Learning, SEO, RAG, Project Management, dbt, Docker",3.7 Years,M.Sc in Machine Learning at Tier-3 Engineering College; M.E. in Electrical Engineering at Tier-3 Engineering College,Consider,65.0%,"Machine Learning, Docker, RAG","Python, NLP, TensorFlow, SQL, NoSQL, REST API, Git",51.8%,"Seattle, USA","Matched [Machine Learning, Docker, RAG] | Missing [Python, NLP, TensorFlow] | 3.7 years experience | Platform engagement: Medium (GitHub: 12%) | Location: Willing to Relocate | Final Score: 65.0%"
CAND_0077337,Candidate 0077337,"GANs, Semantic Search, QLoRA, pgvector, Pinecone, Feature Engineering, BM25, Information Retrieval, LLMs, OpenCV, Data Science, Forecasting, Excel, RAG, Qdrant, Recommendation Systems, Sentence Transformers, LlamaIndex, Python, OpenSearch",7.0 Years,B.Tech in Computer Engineering at Georgia Tech,Consider,65.0%,"Python, RAG","Machine Learning, NLP, TensorFlow, Docker, SQL, NoSQL, REST API, Git",77.2%,"Kochi, Kerala, India","Matched [Python, RAG] | Missing [Machine Learning, NLP, TensorFlow] | 7.0 years experience | Platform engagement: High (GitHub: 68%) | Location: Willing to Relocate | Final Score: 65.0%"
CAND_0029367,Candidate 0029367,"GANs, Haystack, BentoML, MLflow, TensorFlow, QLoRA, FAISS, Sentence Transformers, RAG, NLP, LangChain, Image Classification, PyTorch, Pinecone, Vector Search, Forecasting, Recommendation Systems",5.7 Years,B.Sc in Computer Engineering at SRM University,Consider,65.0%,"NLP, TensorFlow, RAG","Python, Machine Learning, Docker, SQL, NoSQL, REST API, Git",68.2%,"Bangalore, Karnataka, India","Matched [NLP, TensorFlow, RAG] | Missing [Python, Machine Learning, Docker] | 5.7 years experience | Platform engagement: Medium (GitHub: 40%) | Location: Willing to Relocate | Final Score: 65.0%"
CAND_0032505,Candidate 0032505,"GCP, Computer Vision, REST APIs, SQL, Statistical Modeling, Tailwind, Feature Engineering, Docker, Excel, Pinecone, NLP, Learning to Rank, QLoRA, Kubeflow",3.8 Years,B.Tech in Artificial Intelligence at Bharati Vidyapeeth; M.Tech in Machine Learning at Delhi College of Engineering,Consider,64.9%,"NLP, Docker, SQL, NoSQL, REST API","Python, Machine Learning, TensorFlow, RAG, Git",66.4%,"Gurgaon, Haryana, India","Matched [NLP, Docker, SQL] | Missing [Python, Machine Learning, TensorFlow] | 3.8 years experience | Platform engagement: Medium (GitHub: 64%) | Location: Willing to Relocate | Final Score: 64.9%"
CAND_0054441,Candidate 0054441,"Apache Beam, Accounting, BentoML, Databricks, Machine Learning, Python, Docker, Next.js, SQL, Feature Engineering, Marketing, Sales, PostgreSQL, Go, MLOps",7.9 Years,M.S. in Information Technology at KIIT University; M.Tech in Machine Learning at VIT Chennai,Consider,64.9%,"Python, Machine Learning, Docker, SQL, NoSQL","NLP, TensorFlow, RAG, REST API, Git",52.3%,"Ahmedabad, Gujarat, India","Matched [Python, Machine Learning, Docker] | Missing [NLP, TensorFlow, RAG] | 7.9 years experience | Platform engagement: Medium | Location: Willing to Relocate | Final Score: 64.9%"
CAND_0098288,Candidate 0098288,"Time Series, Statistical Modeling, Learning to Rank, Node.js, Information Retrieval, Object Detection, Haystack, BentoML, Marketing, scikit-learn, RAG, NLP, pgvector, CNN, Feature Engineering, Image Classification, ASR, Python",6.7 Years,Ph.D in Computer Science at IIT Roorkee; M.Tech in Computer Science at IIT Bombay,Consider,64.9%,"Python, NLP, RAG","Machine Learning, TensorFlow, Docker, SQL, NoSQL, REST API, Git",66.5%,"Mumbai, Maharashtra, India","Matched [Python, NLP, RAG] | Missing [Machine Learning, TensorFlow, Docker] | 6.7 years experience | Platform engagement: Medium (GitHub: 30%) | Location: Willing to Relocate | Final Score: 64.9%"
CAND_0042029,Candidate 0042029,"YOLO, PyTorch, NLP, RAG, Haystack, Statistical Modeling, TypeScript, Elasticsearch, Embeddings, REST APIs, Speech Recognition, OpenSearch, Image Classification, Feature Engineering, Weaviate, Learning to Rank, Deep Learning, Hugging Face Transformers",6.5 Years,B.E. in Computer Science at PES University,Consider,64.9%,"Machine Learning, NLP, RAG, REST API","Python, TensorFlow, Docker, SQL, NoSQL, Git",65.7%,"Delhi, Delhi, India","Matched [Machine Learning, NLP, RAG] | Missing [Python, TensorFlow, Docker] | 6.5 years experience | Platform engagement: Medium (GitHub: 79%) | Location: Willing to Relocate | Final Score: 64.9%"
CAND_0061257,Candidate 0061257,"PEFT, Haystack, Time Series, Machine Learning, Information Retrieval Systems, Search Infrastructure, Image Classification, TTS, Feature Engineering, ETL, Model Adaptation, Indexing Algorithms, Workflow Orchestration, Search Backend, Python, Vector Representations",8.0 Years,M.S. in Computer Science at VJTI Mumbai; M.E. in Artificial Intelligence at IIT Roorkee,Consider,64.8%,"Python, Machine Learning","NLP, TensorFlow, Docker, SQL, NoSQL, RAG, REST API, Git",78.5%,"Noida, Uttar Pradesh, India","Matched [Python, Machine Learning] | Missing [NLP, TensorFlow, Docker] | 8.0 years experience | Platform engagement: High (GitHub: 45%) | Location: Willing to Relocate | Final Score: 64.8%"
CAND_0022894,Candidate 0022894,"NLP, RAG, Excel, Reinforcement Learning, ASR, Microservices, Machine Learning, REST APIs, Project Management, Hadoop, OpenCV, CI/CD, Milvus, Data Science, Photoshop, MLflow",7.4 Years,Ph.D in Computer Science at Symbiosis International,Consider,64.8%,"Machine Learning, NLP, RAG, REST API","Python, TensorFlow, Docker, SQL, NoSQL, Git",51.1%,"Chennai, Tamil Nadu, India","Matched [Machine Learning, NLP, RAG] | Missing [Python, TensorFlow, Docker] | 7.4 years experience | Platform engagement: Medium | Location: Willing to Relocate | Final Score: 64.8%"
CAND_0051545,Candidate 0051545,"Statistical Modeling, Diffusion Models, OpenCV, Machine Learning, Angular, CNN, Figma, Django, Hugging Face Transformers, RAG, PEFT, OpenSearch, BentoML, Azure, TensorFlow, Learning to Rank",3.2 Years,M.Tech in Information Technology at IIT Hyderabad; M.Sc in Computer Engineering at IISc Bangalore,Consider,64.7%,"Machine Learning, TensorFlow, RAG","Python, NLP, Docker, SQL, NoSQL, REST API, Git",61.9%,"Chennai, Tamil Nadu, India","Matched [Machine Learning, TensorFlow, RAG] | Missing [Python, NLP, Docker] | 3.2 years experience | Platform engagement: Medium (GitHub: 43%) | Location: Willing to Relocate | Final Score: 64.7%"
CAND_0018499,Candidate 0018499,"Deep Learning, Weaviate, Recommendation Systems, scikit-learn, Diffusion Models, Pinecone, Information Retrieval, Milvus, QLoRA, RAG, Embeddings, Learning to Rank, CNN, Go, BM25, LangChain, Weights & Biases",7.2 Years,B.Sc in Artificial Intelligence at Massachusetts Institute of Technology; M.S. in Data Science at NIT Surathkal,Consider,64.7%,"Machine Learning, RAG","Python, NLP, TensorFlow, Docker, SQL, NoSQL, REST API, Git",85.8%,"Noida, Uttar Pradesh, India","Matched [Machine Learning, RAG] | Missing [Python, NLP, TensorFlow] | 7.2 years experience | Platform engagement: High (GitHub: 95%) | Location: Willing to Relocate | Final Score: 64.7%"
CAND_0064904,Candidate 0064904,"Embeddings, Hugging Face Transformers, Elasticsearch, Diffusion Models, Forecasting, FastAPI, Prompt Engineering, LLMs, Python, MLOps, TensorFlow, Weaviate, Vector Search, Recommendation Systems, OpenSearch, Computer Vision",4.9 Years,B.Tech in Information Technology at RV College of Engineering; M.E. in Data Science at Jadavpur University,Consider,64.7%,"Python, TensorFlow","Machine Learning, NLP, Docker, SQL, NoSQL, RAG, REST API, Git",77.4%,"Hyderabad, Telangana, India","Matched [Python, TensorFlow] | Missing [Machine Learning, NLP, Docker] | 4.9 years experience | Platform engagement: High (GitHub: 59%) | Location: Willing to Relocate | Final Score: 64.7%"
